"EF5194A0-6E49-49AF-820C-102E3FDA2006","405000","2015-01-09","NG14 5EP","D","N","F","","114","MAIN STREET","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/EF5194A0-6E49-49AF-820C-102E3FDA2006/current"
"3914047A-0371-3206-E050-A8C063057647","315000","2016-06-10","NG14 5EQ","D","N","F","","32","CHESTERFIELD DRIVE","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3914047A-0371-3206-E050-A8C063057647/current"
"4F0D76CC-DE99-4F63-9502-98900F506C73","210000","2015-05-18","NG14 5EQ","D","N","F","","32","CHESTERFIELD DRIVE","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4F0D76CC-DE99-4F63-9502-98900F506C73/current"
"812FA978-F3D2-4254-8C31-124BEAA84028","400000","2015-01-09","NG14 5ET","D","N","F","","8","LOXLEY MEADOW","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/812FA978-F3D2-4254-8C31-124BEAA84028/current"
"412CF1FA-42E8-40C8-80A7-54A924EE53BC","425000","2004-11-18","NG14 5ET","D","Y","F","","8","LOXLEY MEADOW","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/412CF1FA-42E8-40C8-80A7-54A924EE53BC/current"
"EBAE9AF7-C28C-4E07-AC0E-25B06258114B","150000","2015-09-01","NG14 5EZ","S","N","F","","5","TRENT GARDENS","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/EBAE9AF7-C28C-4E07-AC0E-25B06258114B/current"
"BB0C2E8F-7A8A-48F8-8AD8-346F7AE06FC0","257000","2015-05-01","NG14 5FP","D","N","F","","108","BRIDLE ROAD","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/BB0C2E8F-7A8A-48F8-8AD8-346F7AE06FC0/current"
"6EC3E4B6-4E11-483C-AB0F-55275A5AB59F","260000","2004-04-16","NG14 5FP","D","N","F","","108","BRIDLE ROAD","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/6EC3E4B6-4E11-483C-AB0F-55275A5AB59F/current"
"ACB22AE5-733D-40FB-A97F-1E4F1BBFACAD","275000","2015-03-12","NG14 5GF","D","N","F","","13","FARNSFIELD AVENUE","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/ACB22AE5-733D-40FB-A97F-1E4F1BBFACAD/current"
"45B95554-9B68-4A01-BBD4-E8D52DC5BA83","217500","2006-11-10","NG14 5GF","D","N","F","","13","FARNSFIELD AVENUE","BURTON JOYCE","NOTTINGHAM","GEDLING","NOTTINGHAMSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/45B95554-9B68-4A01-BBD4-E8D52DC5BA83/current"
